,survival,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone,family_size
0,0,3,male,22.0,1,0,7.25,S,Third,man,True,Southampton,no,False,1
2,1,3,female,26.0,0,0,7.925,S,Third,woman,False,Southampton,yes,True,0
3,1,1,female,35.0,1,0,53.1,S,First,woman,False,Southampton,yes,False,1
4,0,3,male,35.0,0,0,8.05,S,Third,man,True,Southampton,no,True,0
6,0,1,male,54.0,0,0,51.8625,S,First,man,True,Southampton,no,True,0
7,0,3,male,2.0,3,1,21.075,S,Third,child,False,Southampton,no,False,4
8,1,3,female,27.0,0,2,11.1333,S,Third,woman,False,Southampton,yes,False,2
9,1,2,female,14.0,1,0,30.0708,C,Second,child,False,Cherbourg,yes,False,1
10,1,3,female,4.0,1,1,16.7,S,Third,child,False,Southampton,yes,False,2
11,1,1,female,58.0,0,0,26.55,S,First,woman,False,Southampton,yes,True,0
12,0,3,male,20.0,0,0,8.05,S,Third,man,True,Southampton,no,True,0
13,0,3,male,39.0,1,5,31.275,S,Third,man,True,Southampton,no,False,6
14,0,3,female,14.0,0,0,7.8542,S,Third,child,False,Southampton,no,True,0
15,1,2,female,55.0,0,0,16.0,S,Second,woman,False,Southampton,yes,True,0
16,0,3,male,2.0,4,1,29.125,Q,Third,child,False,Queenstown,no,False,5
18,0,3,female,31.0,1,0,18.0,S,Third,woman,False,Southampton,no,False,1
20,0,2,male,35.0,0,0,26.0,S,Second,man,True,Southampton,no,True,0
21,1,2,male,34.0,0,0,13.0,S,Second,man,True,Southampton,yes,True,0
22,1,3,female,15.0,0,0,8.0292,Q,Third,child,False,Queenstown,yes,True,0
23,1,1,male,28.0,0,0,35.5,S,First,man,True,Southampton,yes,True,0
24,0,3,female,8.0,3,1,21.075,S,Third,child,False,Southampton,no,False,4
25,1,3,female,38.0,1,5,31.3875,S,Third,woman,False,Southampton,yes,False,6
30,0,1,male,40.0,0,0,27.7208,C,First,man,True,Cherbourg,no,True,0
35,0,1,male,42.0,1,0,52.0,S,First,man,True,Southampton,no,False,1
37,0,3,male,21.0,0,0,8.05,S,Third,man,True,Southampton,no,True,0
38,0,3,female,18.0,2,0,18.0,S,Third,woman,False,Southampton,no,False,2
39,1,3,female,14.0,1,0,11.2417,C,Third,child,False,Cherbourg,yes,False,1
40,0,3,female,40.0,1,0,9.475,S,Third,woman,False,Southampton,no,False,1
41,0,2,female,27.0,1,0,21.0,S,Second,woman,False,Southampton,no,False,1
43,1,2,female,3.0,1,2,41.5792,C,Second,child,False,Cherbourg,yes,False,3
44,1,3,female,19.0,0,0,7.8792,Q,Third,woman,False,Queenstown,yes,True,0
49,0,3,female,18.0,1,0,17.8,S,Third,woman,False,Southampton,no,False,1
50,0,3,male,7.0,4,1,39.6875,S,Third,child,False,Southampton,no,False,5
51,0,3,male,21.0,0,0,7.8,S,Third,man,True,Southampton,no,True,0
53,1,2,female,29.0,1,0,26.0,S,Second,woman,False,Southampton,yes,False,1
56,1,2,female,21.0,0,0,10.5,S,Second,woman,False,Southampton,yes,True,0
57,0,3,male,28.5,0,0,7.2292,C,Third,man,True,Cherbourg,no,True,0
58,1,2,female,5.0,1,2,27.75,S,Second,child,False,Southampton,yes,False,3
59,0,3,male,11.0,5,2,46.9,S,Third,child,False,Southampton,no,False,7
60,0,3,male,22.0,0,0,7.2292,C,Third,man,True,Cherbourg,no,True,0
63,0,3,male,4.0,3,2,27.9,S,Third,child,False,Southampton,no,False,5
